puzzle_id,difficulty,algorithm,run_id,seed,success,elapsed_ms,nodes_explored,backtracks,max_depth,iterations,restarts,moves,stopped_reason
30,hard,mrv,1,,True,7.23,60,13,49,0,0,0,solved
30,hard,mrv,2,,True,6.922,60,13,49,0,0,0,solved
31,expert,mrv,0,,True,9.165,74,21,54,0,0,0,solved
31,expert,mrv,1,,True,9.536,74,21,54,0,0,0,solved
31,expert,mrv,2,,True,12.478,74,21,54,0,0,0,solved
32,expert,mrv,0,,True,67.044,465,459,54,0,0,0,solved
32,expert,mrv,1,,True,71.132,465,459,54,0,0,0,solved
32,expert,mrv,2,,True,55.036,465,459,54,0,0,0,solved
33,expert,mrv,0,,True,23.252,156,108,54,0,0,0,solved
33,expert,mrv,1,,True,20.74,156,108,54,0,0,0,solved
33,expert,mrv,2,,True,25.352,156,108,54,0,0,0,solved
34,expert,mrv,0,,True,19.664,93,43,54,0,0,0,solved
34,expert,mrv,1,,True,21.856,93,43,54,0,0,0,solved
34,expert,mrv,2,,True,20.017,93,43,54,0,0,0,solved
35,expert,mrv,0,,True,9.872,63,11,54,0,0,0,solved
35,expert,mrv,1,,True,12.95,63,11,54,0,0,0,solved
35,expert,mrv,2,,True,10.065,63,11,54,0,0,0,solved
36,expert,mrv,0,,True,28.001,212,170,54,0,0,0,solved
36,expert,mrv,1,,True,40.449,212,170,54,0,0,0,solved
36,expert,mrv,2,,True,32.038,212,170,54,0,0,0,solved
37,expert,mrv,0,,True,28.24,150,106,54,0,0,0,solved
37,expert,mrv,1,,True,33.47,150,106,54,0,0,0,solved
37,expert,mrv,2,,True,31.77,150,106,54,0,0,0,solved
38,expert,mrv,0,,True,28.435,135,88,54,0,0,0,solved
38,expert,mrv,1,,True,27.925,135,88,54,0,0,0,solved
38,expert,mrv,2,,True,34.174,135,88,54,0,0,0,solved
39,expert,mrv,0,,True,26.985,94,44,54,0,0,0,solved
39,expert,mrv,1,,True,18.554,94,44,54,0,0,0,solved
39,expert,mrv,2,,True,15.336,94,44,54,0,0,0,solved
40,expert,mrv,0,,True,15.046,75,24,54,0,0,0,solved
40,expert,mrv,1,,True,12.895,75,24,54,0,0,0,solved
